"Rank","Player","Player_ID","Projected_Rating","Rating_StdErr","Projected_Stdev","Prev_Rank","Rank_Change","Previous_Rating","Change","Weight_Sum","Rounds_Player","Avg_SoS","Center_Wt","Primary_Player","Country","Rounds_Last_Year","Recent_Tour","Common_Tour","estimate","std.error","p.value","Sample_Stdev","Expected_Stdev","Date"
26,"Francesco Molinari","7655",-1.25300330658483,0.453482004548222,2.67397928430615,25,1,-1.24402999807957,-0.0089733085052619,80.449805118399,385,-0.377725993005204,0.342423530904416,1,"ITA",84,"PGA Tour","European Tour",-1.46227245813328,0.380759184219777,5.18215623451567e-14,2.4712084188144,2.63524558332793,2016-01-21
27,"Brandt Snedeker","8820",-1.21978213610606,0.45648961606519,2.91834074377482,39,-12,-1.08914096714684,-0.130641168959215,83.8770325908085,363,-0.691295985024693,0.385490682904787,1,"USA",101,"PGA Tour","PGA Tour",-1.40745024596635,0.378786039638226,1.15604355786959e-13,3.06396884118022,2.88241737560695,2016-01-21
28,"Louis Oosthuizen","7672",-1.20818168305246,0.482668415419725,2.7395903292797,28,0,-1.20666432488803,-0.00151735816442744,67.4028681566941,305,-0.644146980700138,0.385394631594076,1,"RSA",74,"PGA Tour","PGA Tour",-1.44070784210785,0.387236103407555,2.04751018816634e-13,2.60585981700665,2.6967362446185,2016-01-21
29,"Keegan Bradley","13872",-1.20582096814733,0.457649027384549,2.75113881925285,23,6,-1.28527308322142,0.0794521150740932,78.9680462976794,375,-0.738214248603589,0.356319503091001,1,"USA",96,"PGA Tour","PGA Tour",-1.40085957068817,0.380889284590674,1.7923079511129e-13,2.65864354222257,2.71280706474566,2016-01-21
30,"Russell Knox","13831",-1.19591008777178,0.447353025651219,2.72966896676673,26,4,-1.22016893750309,0.0242588497313128,92.9709144082176,394,-0.570521546123741,0.391227552740765,1,"SCO",105,"PGA Tour","PGA Tour",-1.36996450483075,0.375516256676765,1.50715849323805e-13,2.62196199677033,2.69276213924848,2016-01-21
31,"Charl Schwartzel","7398",-1.16775218570736,0.444485549042269,2.74327287700151,30,1,-1.16399851898705,-0.00375366672030908,92.9539249635131,406,-0.400243417740262,0.372965789106863,1,"RSA",96,"PGA Tour","PGA Tour",-1.34651892254462,0.376025006833371,2.58957612260706e-13,2.65385518466784,2.70702395157204,2016-01-21
32,"Ryan Moore","7489",-1.15834448013204,0.4740601679654,2.81661737892746,31,1,-1.1600292968429,0.00168481671085829,67.020826596655,336,-0.731807836037045,0.33828061233772,1,"USA",74,"PGA Tour","PGA Tour",-1.38326126249399,0.386993578903061,5.94153672327081e-13,2.82179886202047,2.7764366400883,2016-01-21
33,"Jimmy Walker","7293",-1.15778573296274,0.45278412102735,2.86396191538091,34,-1,-1.11901870187704,-0.0387670310857025,84.8132506664222,399,-0.780622758201846,0.370411022264718,1,"USA",88,"PGA Tour","PGA Tour",-1.33562878884818,0.37868912716995,4.69087230604933e-13,2.93362864683648,2.82794349174409,2016-01-21
34,"Robert Streb","14852",-1.14809784076425,0.453282899496245,2.73989464436661,32,2,-1.14775586040621,-0.00034198035804156,86.7948943237871,368,-0.654996399286609,0.387206107224739,1,"USA",100,"PGA Tour","PGA Tour",-1.32710543590318,0.377651377537798,4.78478691337188e-13,2.63872586226016,2.70213938856846,2016-01-21
35,"Marc Leishman","7649",-1.1300214431896,0.468731695660657,2.78780332431437,36,-1,-1.097741156904,-0.0322802862855991,71.0724542831502,357,-0.563817934734259,0.349591034378056,1,"AUS",72,"PGA Tour","PGA Tour",-1.3485427007761,0.384747307878318,8.45150395786075e-13,2.7450658577609,2.74811534920595,2016-01-21
36,"Jason Bohn","6462",-1.1221665433922,0.463416445739541,2.78855966897936,33,3,-1.12125023719194,-0.000916306200262174,76.3827296681881,336,-0.541129194158888,0.368560024817288,1,"USA",93,"PGA Tour","PGA Tour",-1.32722836477811,0.381728000318499,8.40569142824357e-13,2.74945796578545,2.74978366881404,2016-01-21
37,"Bernd Wiesberger","9531",-1.1122184652969,0.450957272803871,2.85099168747878,35,2,-1.11231227777214,9.38124752396519e-05,87.9379586084163,390,-0.195337989355587,0.376521454472921,1,"AUT",96,"European Tour","European Tour",-1.30576410538603,0.378462405458657,8.10370761096261e-13,2.90023516738729,2.81510055596215,2016-01-21
